NAICS Code,NAICS Description
333995,FLUID POWER CYLINDER AND ACTUATOR MANUFACTURING
333996,FLUID POWER PUMP AND MOTOR MANUFACTURING
332912,FLUID POWER VALVE AND HOSE FITTING MANUFACTURING
333241,FOOD PRODUCT MACHINERY MANUFACTURING
722310,FOOD SERVICE CONTRACTORS
316210,FOOTWEAR MANUFACTURING
113210,FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS
221112,FOSSIL FUEL ELECTRIC POWER GENERATION
621493,FREESTANDING AMBULATORY SURGICAL AND EMERGENCY CENTERS
488510,FREIGHT TRANSPORTATION ARRANGEMENT
424480,FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS
311411,"FROZEN FRUIT, JUICE, AND VEGETABLE MANUFACTURING"
311421,FRUIT AND VEGETABLE CANNING
722511,FULL-SERVICE RESTAURANTS
423210,FURNITURE MERCHANT WHOLESALERS
339991,"GASKET, PACKING, AND SEALING DEVICE MANUFACTURING"
811111,GENERAL AUTOMOTIVE REPAIR
484110,"GENERAL FREIGHT TRUCKING, LOCAL"
484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD"
622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
532310,GENERAL RENTAL CENTERS
493110,GENERAL WAREHOUSING AND STORAGE
541360,GEOPHYSICAL SURVEYING AND MAPPING SERVICES
541430,GRAPHIC DESIGN SERVICES
336414,GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING
336415,GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING
332510,HARDWARE MANUFACTURING
423710,HARDWARE MERCHANT WHOLESALERS
444130,HARDWARE STORES
111940,HAY FARMING
562112,HAZARDOUS WASTE COLLECTION
562211,HAZARDOUS WASTE TREATMENT AND DISPOSAL
333414,HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING
336120,HEAVY DUTY TRUCK MANUFACTURING
237310,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION"
712120,HISTORICAL SITES
444110,HOME CENTERS
621610,HOME HEALTH CARE SERVICES
532283,HOME HEALTH EQUIPMENT RENTAL
315110,HOSIERY AND SOCK MILLS
721110,HOTELS (EXCEPT CASINO HOTELS) AND MOTELS
335222,HOUSEHOLD REFRIGERATOR AND HOME FREEZER MANUFACTURING
541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)"
221111,HYDROELECTRIC POWER GENERATION
711510,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS"
333413,INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING
236210,INDUSTRIAL BUILDING CONSTRUCTION
541420,INDUSTRIAL DESIGN SERVICES
325120,INDUSTRIAL GAS MANUFACTURING
812332,INDUSTRIAL LAUNDERERS
333511,INDUSTRIAL MOLD MANUFACTURING
333994,INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING
423840,INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS
333924,"INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING"
332911,INDUSTRIAL VALVE MANUFACTURING
483211,INLAND WATER FREIGHT TRANSPORTATION
483212,INLAND WATER PASSENGER TRANSPORTATION
337127,INSTITUTIONAL FURNITURE MANUFACTURING
334515,INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS
334513,"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES"
524210,INSURANCE AGENCIES AND BROKERAGES
541410,INTERIOR DESIGN SERVICES
928120,INTERNATIONAL AFFAIRS
519130,INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS
518111,INTERNET SERVICE PROVIDERS
485210,INTERURBAN AND RURAL BUS TRANSPORTATION
561611,INVESTIGATION SERVICES
523930,INVESTMENT ADVICE
325413,IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING
332111,IRON AND STEEL FORGING
331110,IRON AND STEEL MILLS AND FERROALLOY MANUFACTURING
334517,IRRADIATION APPARATUS MANUFACTURING
561720,JANITORIAL SERVICES
611210,JUNIOR COLLEGES
621492,KIDNEY DIALYSIS CENTERS
326130,"LAMINATED PLASTICS PLATE, SHEET (EXCEPT PACKAGING), AND SHAPE MANUFACTURING"
541320,LANDSCAPE ARCHITECTURAL SERVICES
561730,LANDSCAPING SERVICES
611630,LANGUAGE SCHOOLS
333112,LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING
922130,LEGAL COUNSEL AND PROSECUTION
531130,LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS
531120,LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES)
531190,LESSORS OF OTHER REAL ESTATE PROPERTY
531110,LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS
519120,LIBRARIES AND ARCHIVES
336112,LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING
492210,LOCAL MESSENGERS AND LOCAL DELIVERY
561622,LOCKSMITHS
423310,"LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL MERCHANT WHOLESALERS"
332710,MACHINE SHOPS
333512,MACHINE TOOL (METAL CUTTING TYPES) MANUFACTURING
333517,MACHINE TOOL MANUFACTURING
335220,MAJOR HOUSEHOLD APPLIANCE MANUFACTURING
321991,MANUFACTURED HOME (MOBILE HOME) MANUFACTURING
713930,MARINAS
488320,MARINE CARGO HANDLING
541613,MARKETING CONSULTING SERVICES
541910,MARKETING RESEARCH AND PUBLIC OPINION POLLING
238140,MASONRY CONTRACTORS
562920,MATERIALS RECOVERY FACILITIES
337910,MATTRESS MANUFACTURING
333914,"MEASURING, DISPENSING, AND OTHER PUMPING EQUIPMENT MANUFACTURING"
333613,MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING
621511,MEDICAL LABORATORIES
423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS"
325411,MEDICINAL AND BOTANICAL MANUFACTURING
424320,MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS
315220,MEN'S AND BOYS' CUT AND SEW APPAREL MANUFACTURING
448110,MEN'S CLOTHING STORES
337124,METAL HOUSEHOLD FURNITURE MANUFACTURING
332215,"METAL KITCHEN COOKWARE, UTENSIL, CUTLERY, AND FLATWARE (EXCEPT PRECIOUS) MANUFACTURING"
332420,METAL TANK (HEAVY GAUGE) MANUFACTURING
332321,METAL WINDOW AND DOOR MANUFACTURING
336992,"MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING"
327993,MINERAL WOOL MANUFACTURING
523910,MISCELLANEOUS INTERMEDIATION
485111,MIXED MODE TRANSIT SYSTEMS
722330,MOBILE FOOD SERVICES
522310,MORTGAGE AND NONMORTGAGE LOAN BROKERS
512120,MOTION PICTURE AND VIDEO DISTRIBUTION
512110,MOTION PICTURE AND VIDEO PRODUCTION
335312,MOTOR AND GENERATOR MANUFACTURING
336211,MOTOR VEHICLE BODY MANUFACTURING
336340,MOTOR VEHICLE BRAKE SYSTEM MANUFACTURING
336320,MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING
336310,MOTOR VEHICLE GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING
336370,MOTOR VEHICLE METAL STAMPING
336360,MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING
423120,MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS
336350,MOTOR VEHICLE TRANSMISSION AND POWER TRAIN PARTS MANUFACTURING
712110,MUSEUMS
928110,NATIONAL SECURITY
221210,NATURAL GAS DISTRIBUTION
211130,NATURAL GAS EXTRACTION
712190,NATURE PARKS AND OTHER SIMILAR INSTITUTIONS
488330,NAVIGATIONAL SERVICES TO SHIPPING
236117,NEW HOUSING FOR-SALE BUILDERS
236116,NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)
236115,NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)
511110,NEWSPAPER PUBLISHERS
311340,NONCHOCOLATE CONFECTIONERY MANUFACTURING
332112,NONFERROUS FORGING
331410,NONFERROUS METAL (EXCEPT ALUMINUM) SMELTING AND REFINING
331491,"NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) ROLLING, DRAWING, AND EXTRUDING"
531312,NONRESIDENTIAL PROPERTY MANAGERS
481212,NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION
481211,NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION
337122,NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING
313230,NONWOVEN FABRIC MILLS
111421,NURSERY AND TREE PRODUCTION
623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES)
561110,OFFICE ADMINISTRATIVE SERVICES
423420,OFFICE EQUIPMENT MERCHANT WHOLESALERS
337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING
532420,OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING
333313,OFFICE MACHINERY MANUFACTURING
339940,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING
621399,OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS
541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS
621310,OFFICES OF CHIROPRACTORS
621210,OFFICES OF DENTISTS
541110,OFFICES OF LAWYERS
621330,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS)
621320,OFFICES OF OPTOMETRISTS
621340,"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS"
621111,OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)
621112,"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS"
531210,OFFICES OF REAL ESTATE AGENTS AND BROKERS
531320,OFFICES OF REAL ESTATE APPRAISERS
237120,OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION
339115,OPHTHALMIC GOODS MANUFACTURING
446130,OPTICAL GOODS STORES
333314,OPTICAL INSTRUMENT AND LENS MANUFACTURING
332323,ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING
541219,OTHER ACCOUNTING SERVICES
522390,OTHER ACTIVITIES RELATED TO CREDIT INTERMEDIATION
531390,OTHER ACTIVITIES RELATED TO REAL ESTATE
336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING
488119,OTHER AIRPORT OPERATIONS
331318,"OTHER ALUMINUM ROLLING, DRAWING, AND EXTRUDING"
315999,OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING
325180,OTHER BASIC INORGANIC CHEMICAL MANUFACTURING
238290,OTHER BUILDING EQUIPMENT CONTRACTORS
238390,OTHER BUILDING FINISHING CONTRACTORS
561439,OTHER BUSINESS SERVICE CENTERS (INCLUDING COPY SHOPS)
424690,OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS
532490,OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING
333318,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING
333319,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING
323119,OTHER COMMERCIAL PRINTING
335929,OTHER COMMUNICATION AND ENERGY WIRE MANUFACTURING
334290,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING
624229,OTHER COMMUNITY HOUSING SERVICES
334119,OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING
541519,OTHER COMPUTER RELATED SERVICES
327390,OTHER CONCRETE PRODUCT MANUFACTURING
212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
315280,OTHER CUT AND SEW APPAREL MANUFACTURING
221118,OTHER ELECTRIC POWER GENERATION
221119,OTHER ELECTRIC POWER GENERATION
811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE
334419,OTHER ELECTRONIC COMPONENT MANUFACTURING
423690,OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS
333618,OTHER ENGINE EQUIPMENT MANUFACTURING
332618,OTHER FABRICATED WIRE PRODUCT MANUFACTURING
238190,"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS"
921190,OTHER GENERAL GOVERNMENT SUPPORT
813219,OTHER GRANTMAKING AND GIVING SERVICES
336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING
237990,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION
624190,OTHER INDIVIDUAL AND FAMILY SERVICES
333249,OTHER INDUSTRIAL MACHINERY MANUFACTURING
922190,"OTHER JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES"
335129,OTHER LIGHTING EQUIPMENT MANUFACTURING
541618,OTHER MANAGEMENT CONSULTING SERVICES
334519,OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING
332439,OTHER METAL CONTAINER MANUFACTURING
332919,OTHER METAL VALVE AND PIPE FITTING MANUFACTURING
336390,OTHER MOTOR VEHICLE PARTS MANUFACTURING
331529,OTHER NONFERROUS METAL FOUNDRIES (EXCEPT DIE-CASTING)
562219,OTHER NONHAZARDOUS WASTE TREATMENT AND DISPOSAL
481219,OTHER NONSCHEDULED AIR TRANSPORTATION
811490,OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE
812199,OTHER PERSONAL CARE SERVICES
327212,OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING
623990,OTHER RESIDENTIAL CARE FACILITIES
541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES
541890,OTHER SERVICES RELATED TO ADVERTISING
561790,OTHER SERVICES TO BUILDINGS AND DWELLINGS
311919,OTHER SNACK FOOD MANUFACTURING
512290,OTHER SOUND RECORDING INDUSTRIES
711219,OTHER SPECTATOR SPORTS
488190,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION
488490,OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION
488390,OTHER SUPPORT ACTIVITIES FOR WATER TRANSPORTATION
611519,OTHER TECHNICAL AND TRADE SCHOOLS
493190,OTHER WAREHOUSING AND STORAGE
562119,OTHER WASTE COLLECTION
621420,OUTPATIENT MENTAL HEALTH AND SUBSTANCE ABUSE CENTERS
333923,"OVERHEAD TRAVELING CRANE, HOIST, AND MONORAIL SYSTEM MANUFACTURING"
561910,PACKAGING AND LABELING SERVICES
333993,PACKAGING MACHINERY MANUFACTURING
488991,PACKING AND CRATING
325510,PAINT AND COATING MANUFACTURING
238320,PAINTING AND WALL COVERING CONTRACTORS
322121,PAPER (EXCEPT NEWSPRINT) MILLS
322220,PAPER BAG AND COATED AND TREATED PAPER MANUFACTURING
812930,PARKING LOTS AND GARAGES
532112,PASSENGER CAR LEASING
532111,PASSENGER CAR RENTAL
541214,PAYROLL SERVICES
511120,PERIODICAL PUBLISHERS
311991,PERISHABLE PREPARED FOOD MANUFACTURING
325320,PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING
812910,PET CARE (EXCEPT VETERINARY) SERVICES
424710,PETROLEUM BULK STATIONS AND TERMINALS
324191,PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING
324110,PETROLEUM REFINERIES
325412,PHARMACEUTICAL PREPARATION MANUFACTURING
446110,PHARMACIES AND DRUG STORES
333316,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING
