LOCID,LAT,LON,STATE_CODE,ZIPCODE,DIST,FUND_TYPE,NAICS_CODE,RECIPIENT,ACTION_DATE,START_DATE,END_DATE,PERMALINK,FED_ATION_OBL,CURRENT_TOTAL_VALUE,SUBAGENCY,DESCRIPTION
"Baltimore-Columbia-Towson, MD Metro Area",39.304361,-76.549501,SD,20740,29.19,contract,,"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",9/28/23,2/14/23,6/15/23,https://www.usaspending.gov/award/CONT_AWD_89503223PWA000402_8900_-NONE-_-NONE-/,0.0,13696.68,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Sacramento-Roseville-Folsom, CA Metro Area",38.790272,-121.005643,SD,95630,11.41,contract,,"THREE WIRE SYSTEMS, LLC",9/28/23,9/28/23,11/30/24,https://www.usaspending.gov/award/CONT_AWD_89503323FWA400137_8900_NNG15SD25B_8000/,1419577.21,1419577.21,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Grand Junction, CO Metro Area",39.019524,-108.460571,SD,81419,39.53,contract,,"VEGETATION MANAGEMENT WEST, L.P.",9/28/23,4/25/22,6/15/23,https://www.usaspending.gov/award/CONT_AWD_89503222FWA000108_8900_89503219AWA000002_8900/,0.0,46115.15,Department of Energy,"SOIL PREPARATION, PLANTING, AND CULTIVATING"
"San Francisco-Oakland-Berkeley, CA Metro Area",37.773718,-122.274432,SD,94538,25.62,contract,,"NEW TECH SOLUTIONS, INC.",9/28/23,9/28/23,1/31/24,https://www.usaspending.gov/award/CONT_AWD_89243323FFE400525_8900_NNG15SC82B_8000/,278038.51,278038.51,Department of Energy,OTHER COMPUTER RELATED SERVICES
"San Francisco-Oakland-Berkeley, CA Metro Area",37.773718,-122.274432,SD,94588,22.57,contract,,TPGI CPA PLLC,9/28/23,10/1/23,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89233123CNA000317_8900_-NONE-_-NONE-/,223585.0,888340.0,Department of Energy,OFFICE ADMINISTRATIVE SERVICES
"Santa Fe, NM Metro Area",35.514531,-105.963972,SD,87544,25.5,contract,,SIGMA SCIENCE INC,9/28/23,7/1/21,12/31/23,https://www.usaspending.gov/award/CONT_AWD_89233121FNA400378_8900_89233118DNA000008_8900/,0.0,678705.63,Department of Energy,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES
"Sacramento-Roseville-Folsom, CA Metro Area",38.790272,-121.005643,SD,95630,11.41,contract,,MACK JANITORIAL & MAINTENANCE,9/28/23,10/1/23,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89503323PWA000307_8900_-NONE-_-NONE-/,38676.72,38988.0,Department of Energy,JANITORIAL SERVICES
"New Orleans-Metairie, LA Metro Area",30.05342,-89.934502,SD,70123,17.74,contract,,VALI COOPER INTERNATIONAL LLC,9/28/23,5/18/21,2/1/25,https://www.usaspending.gov/award/CONT_AWD_89243521FFE400142_8900_89243520DFE000004_8900/,48358.9,192558.95,Department of Energy,ENGINEERING SERVICES
"New Haven-Milford, CT Metro Area",41.349718,-72.900203,SD,11973,33.4,contract,,"BROOKHAVEN SCIENCE ASSOCIATES, LLC",9/28/23,1/5/15,1/4/25,https://www.usaspending.gov/award/CONT_AWD_DESC0012704_8900_-NONE-_-NONE-/,5174547.27,6378711269.0,Department of Energy,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)"
"El Paso, TX Metro Area",31.527394,-105.521333,SD,88220,84.45,contract,,"NAVARRO RESEARCH AND ENGINEERING, INC.",9/28/23,7/1/21,3/31/22,https://www.usaspending.gov/award/CONT_AWD_89303321FEM400223_8900_89303321DEM000063_8900/,-1053956.26,9681104.8,Department of Energy,REMEDIATION SERVICES
"Dallas-Fort Worth-Arlington, TX Metro Area",32.849171,-96.970489,SD,75248,13.05,contract,,WASTE CONTROL SPECIALISTS LLC,9/28/23,9/28/23,3/27/25,https://www.usaspending.gov/award/CONT_AWD_89303323FEM400374_8900_89303321GEM000020_8900/,6000000.0,11194677.0,Department of Energy,HAZARDOUS WASTE TREATMENT AND DISPOSAL
"Carbondale-Marion, IL Metro Area",37.689742,-89.105149,SD,42053,41.72,contract,,SWIFT & STALEY INC.,9/28/23,10/2/15,7/31/24,https://www.usaspending.gov/award/CONT_AWD_DEEM0003733_8900_-NONE-_-NONE-/,0.0,396666139.1,Department of Energy,FACILITIES SUPPORT SERVICES
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99352,8.36,contract,,HANFORD LABORATORY MANAGEMENT AND INTEGRATION LLC,9/28/23,9/29/20,1/4/26,https://www.usaspending.gov/award/CONT_AWD_89303320CEM000075_8900_-NONE-_-NONE-/,0.0,358324067.1,Department of Energy,REMEDIATION SERVICES
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99352,8.36,contract,,HANFORD LABORATORY MANAGEMENT AND INTEGRATION LLC,9/28/23,9/29/20,1/4/26,https://www.usaspending.gov/award/CONT_AWD_89303320CEM000075_8900_-NONE-_-NONE-/,0.0,358324067.1,Department of Energy,REMEDIATION SERVICES
"Albuquerque, NM Metro Area",35.123496,-106.458392,SD,87117,9.37,contract,,CHENEGA PROFESSIONAL & TECHNICAL SERVICES LLC,9/28/23,2/1/22,1/31/24,https://www.usaspending.gov/award/CONT_AWD_89233122FNA400406_8900_DENA0003496_8900/,47112.8,4440796.48,Department of Energy,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
"Albuquerque, NM Metro Area",35.123496,-106.458392,SD,87117,9.37,contract,,RICOH USA INC,9/28/23,9/1/23,8/31/24,https://www.usaspending.gov/award/CONT_AWD_89233123FNA000129_8900_89303021AMA000025_8900/,67630.48,69587.64,Department of Energy,PRINTING MACHINERY AND EQUIPMENT MANUFACTURING
"Greeley, CO Metro Area",40.555961,-104.383666,SD,80651,31.22,contract,,PROTECTION STRATEGIES INC,9/28/23,10/1/21,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89243221FEM400010_8900_GS07F0442N_4730/,0.0,10856636.98,Department of Energy,SECURITY GUARDS AND PATROL SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,22102,17.42,contract,,"ADVANCED COMPUTER CONCEPTS, INC.",9/28/23,9/28/23,10/28/23,https://www.usaspending.gov/award/CONT_AWD_89243323FFE400519_8900_NNG15SD60B_8000/,41433.02,41433.02,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Sacramento-Roseville-Folsom, CA Metro Area",38.790272,-121.005643,SD,95626,26.39,contract,,WISECOM TECHNOLOGIES INC,9/28/23,9/28/23,12/7/23,https://www.usaspending.gov/award/CONT_AWD_89503323PWA000305_8900_-NONE-_-NONE-/,57992.0,96486.0,Department of Energy,INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS
"Sioux City, IA-NE-SD Metro Area",42.512942,-96.438949,SD,51101,2.64,contract,,REGENCY CONSULTING INC,9/28/23,9/28/23,10/13/23,https://www.usaspending.gov/award/CONT_AWD_89243323FFE400521_8900_NNG15SD07B_8000/,65415.1,65415.1,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Sacramento-Roseville-Folsom, CA Metro Area",38.790272,-121.005643,SD,95630,11.41,contract,,"CHEROKEE NATION STRATEGIC PROGRAMS, L.L.C.",9/28/23,9/27/22,10/31/24,https://www.usaspending.gov/award/CONT_AWD_89503322FWA400117_8900_47QRAD20D8141_4732/,4112925.91,10380650.11,Department of Energy,ENGINEERING SERVICES
"Cincinnati, OH-KY-IN Metro Area",39.100546,-84.479533,SD,45202,1.39,contract,,"TEKPRO SUPPORT SERVICES, LLC",9/28/23,9/29/20,9/30/23,https://www.usaspending.gov/award/CONT_AWD_89303320FEM400187_8900_89303320DEM000034_8900/,-30000.0,287364.8,Department of Energy,ALL OTHER BUSINESS SUPPORT SERVICES
"Sioux City, IA-NE-SD Metro Area",42.512942,-96.438949,SD,68701,61.69,contract,,MBE INC,9/28/23,6/1/23,9/28/23,https://www.usaspending.gov/award/CONT_AWD_89503423PWA001621_8900_-NONE-_-NONE-/,0.0,10702.5,Department of Energy,OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING
"Sioux City, IA-NE-SD Metro Area",42.512942,-96.438949,SD,68701,61.69,contract,,MBE INC,9/28/23,6/1/23,9/28/23,https://www.usaspending.gov/award/CONT_AWD_89503423PWA001621_8900_-NONE-_-NONE-/,-9297.5,10702.5,Department of Energy,OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING
"Hagerstown-Martinsburg, MD-WV Metro Area",39.554433,-77.984594,SD,25414,22.5,contract,,TI VERBATIM CONSULTING INC.,9/28/23,10/1/23,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89303323FLM400010_8900_89303323DLM000002_8900/,0.0,525600.0,Department of Energy,OTHER MANAGEMENT CONSULTING SERVICES
"Huntington-Ashland, WV-KY-OH Metro Area",38.406577,-82.542646,SD,45661,53.64,contract,,"PJM INTERCONNECTION, L.L.C.",9/28/23,9/27/18,12/31/24,https://www.usaspending.gov/award/CONT_AWD_89303318CEM000033_8900_-NONE-_-NONE-/,75400.0,423400.0,Department of Energy,ELECTRIC BULK POWER TRANSMISSION AND CONTROL
"Huntington-Ashland, WV-KY-OH Metro Area",38.406577,-82.542646,SD,45661,53.64,contract,,"MID-AMERICA CONVERSION SERVICES, LLC",9/28/23,9/29/16,1/31/24,https://www.usaspending.gov/award/CONT_AWD_DEEM0004559_8900_-NONE-_-NONE-/,11137600.4,826710513.2,Department of Energy,OTHER BASIC INORGANIC CHEMICAL MANUFACTURING
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20560,25.59,contract,,CANDOR SOLUTIONS LLC,9/28/23,9/16/22,9/15/24,https://www.usaspending.gov/award/CONT_AWD_89303022FCF400030_8900_HHSN316201200110W_7529/,209784.52,3154517.07,Department of Energy,COMPUTER SYSTEMS DESIGN SERVICES
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99352,8.36,contract,,"UNITECH SERVICES GROUP, INC.",9/27/23,11/1/18,4/30/24,https://www.usaspending.gov/award/CONT_AWD_89303918FEM400008_8900_DEEM0002866_8900/,300000.0,17800000.0,Department of Energy,INDUSTRIAL LAUNDERERS
"Bridgeport-Stamford-Norwalk, CT Metro Area",41.227413,-73.367061,SD,06902,14.83,contract,,"GARTNER, INC.",9/27/23,9/27/23,9/29/24,https://www.usaspending.gov/award/CONT_AWD_89233123FNA400561_8900_03310321D0001_0300/,70260.0,70260.0,Department of Energy,LIBRARIES AND ARCHIVES
"Las Vegas-Henderson-Paradise, NV Metro Area",36.21413,-115.014398,SD,89005,17.36,contract,,"UTILITY SYSTEMS, INC.",9/27/23,8/15/22,9/25/23,https://www.usaspending.gov/award/CONT_AWD_89503122PWA000587_8900_-NONE-_-NONE-/,-1615.0,37385.0,Department of Energy,INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS
"Milwaukee-Waukesha, WI Metro Area",42.912643,-87.862312,SD,53224,19.5,contract,,"FEI BEHAVIORAL HEALTH, INC.",9/27/23,7/1/15,12/31/20,https://www.usaspending.gov/award/CONT_AWD_DEDT0009650_8900_GS15F0032M_4730/,0.0,95418.82,Department of Energy,INVESTIGATION AND PERSONAL BACKGROUND CHECK SERVICES
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,"CH2M HILL CONSTRUCTORS, INC.",9/27/23,3/30/15,1/31/24,https://www.usaspending.gov/award/CONT_AWD_DEEM0003601_8900_-NONE-_-NONE-/,0.0,55890180.0,Department of Energy,ENGINEERING SERVICES
"Pittsburgh, PA Metro Area",40.439525,-79.836097,SD,15236,9.75,contract,,SIA-STANTEC LLC,9/27/23,3/12/20,8/31/21,https://www.usaspending.gov/award/CONT_AWD_89243320CFE000042_8900_-NONE-_-NONE-/,0.0,335326.6,Department of Energy,ENGINEERING SERVICES
"San Francisco-Oakland-Berkeley, CA Metro Area",37.773718,-122.274432,SD,94720,6.88,contract,,REGENTS OF UNIVERSITY OF CALIFORNIA,9/27/23,6/1/05,5/31/25,https://www.usaspending.gov/award/CONT_AWD_DEAC0205CH11231_8900_-NONE-_-NONE-/,0.0,16556597249.0,Defense Health Agency,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
"San Francisco-Oakland-Berkeley, CA Metro Area",37.773718,-122.274432,SD,94803,12.64,contract,,"FEDCORP SERVICES, INC.",9/27/23,9/27/23,10/27/23,https://www.usaspending.gov/award/CONT_AWD_89243323PFE000687_8900_-NONE-_-NONE-/,22587.27,22587.27,Department of Energy,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING
"Phoenix-Mesa-Chandler, AZ Metro Area",33.185765,-112.067862,SD,85009,18.18,contract,,CIVIL DESIGN & ENGINEERING INC,9/27/23,9/27/23,12/1/23,https://www.usaspending.gov/award/CONT_AWD_89503123FWA400542_8900_89503122DWA000004_8900/,104254.22,104254.22,Department of Energy,ENGINEERING SERVICES
"New Orleans-Metairie, LA Metro Area",30.05342,-89.934502,SD,70123,17.74,contract,,ONEVOICE GOVERNMENT SOLUTIONS LLC,9/27/23,10/1/23,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89243523FCR400016_8900_47QTCA23D005Z_4732/,3388.0,3388.0,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Pittsburgh, PA Metro Area",40.439525,-79.836097,SD,15236,9.75,contract,,WEST PENN POWER COMPANY,9/27/23,10/1/23,9/30/33,https://www.usaspending.gov/award/CONT_AWD_89243323FFE400492_8900_47PA0418D0033_4740/,310000.0,15516918.0,Department of Energy,OTHER ELECTRIC POWER GENERATION
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99354,3.05,contract,,"BECHTEL NATIONAL, INC.",9/27/23,12/15/00,9/30/24,https://www.usaspending.gov/award/CONT_AWD_DEAC2701RV14136_8900_-NONE-_-NONE-/,151166778.6,15559419082.0,Department of Energy,INDUSTRIAL NONBUILDING STRUCTURE CONSTRUCTION
"Hagerstown-Martinsburg, MD-WV Metro Area",39.554433,-77.984594,SD,25414,22.5,contract,,TI VERBATIM CONSULTING INC.,9/27/23,11/10/22,11/9/23,https://www.usaspending.gov/award/CONT_AWD_89303323FLM400002_8900_89303021DLM000004_8900/,15000.0,220000.0,Department of Energy,OTHER MANAGEMENT CONSULTING SERVICES
"Morgantown, WV Metro Area",39.525155,-79.801912,SD,26505,11.69,contract,,KBC ENERGY SOLUTIONS LLC,9/27/23,4/1/23,3/31/26,https://www.usaspending.gov/award/CONT_AWD_89243323CFE000074_8900_-NONE-_-NONE-/,1897573.0,121993811.0,Department of Energy,ENGINEERING SERVICES
"Morgantown, WV Metro Area",39.525155,-79.801912,SD,26505,11.69,contract,,KBC ENERGY SOLUTIONS LLC,9/27/23,4/1/23,3/31/26,https://www.usaspending.gov/award/CONT_AWD_89243323CFE000074_8900_-NONE-_-NONE-/,50562.0,121993811.0,Department of Energy,ENGINEERING SERVICES
"Morgantown, WV Metro Area",39.525155,-79.801912,SD,26505,11.69,contract,,KBC ENERGY SOLUTIONS LLC,9/27/23,4/1/23,3/31/26,https://www.usaspending.gov/award/CONT_AWD_89243323CFE000074_8900_-NONE-_-NONE-/,219713.0,121993811.0,Department of Energy,ENGINEERING SERVICES
"Pittsburgh, PA Metro Area",40.439525,-79.836097,SD,15236,9.75,contract,,"INDUSTRIAL ELEVATOR MAINTENANCE, INC",9/27/23,12/15/17,12/14/22,https://www.usaspending.gov/award/CONT_AWD_89243318PFE000007_8900_-NONE-_-NONE-/,0.0,293078.45,Department of Energy,OTHER BUILDING EQUIPMENT CONTRACTORS
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,"RSI ENTECH, LLC",9/27/23,10/1/23,11/30/23,https://www.usaspending.gov/award/CONT_AWD_89303323FLM400007_8900_89303020DLM000001_8900/,7032000.0,9225204.0,Department of Energy,REMEDIATION SERVICES
"Manhattan, KS Metro Area",39.268424,-96.562242,SD,66508,40.95,contract,,"LANDOLL COMPANY, LLC",9/27/23,7/21/22,5/17/23,https://www.usaspending.gov/award/CONT_AWD_89503222PWA000364_8900_-NONE-_-NONE-/,0.0,98336.33,Department of Energy,TRUCK TRAILER MANUFACTURING
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,"RSI ENTECH, LLC",9/27/23,10/1/23,11/30/23,https://www.usaspending.gov/award/CONT_AWD_89303323FLM400008_8900_89303020DLM000001_8900/,5050000.0,6413091.0,Department of Energy,REMEDIATION SERVICES
"Sacramento-Roseville-Folsom, CA Metro Area",38.790272,-121.005643,SD,95626,26.39,contract,,"DILO COMPANY, INC",9/27/23,9/27/23,1/25/24,https://www.usaspending.gov/award/CONT_AWD_89503323PWA000304_8900_-NONE-_-NONE-/,13189.2,13189.2,Department of Energy,INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20874,25.16,contract,,"COVENANT PARK INTEGRATED INITIATIVES, INC.",9/27/23,8/4/21,2/3/25,https://www.usaspending.gov/award/CONT_AWD_89233121CNA000187_8900_-NONE-_-NONE-/,10000.0,6345613.26,Department of Energy,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",36.804408,-76.449526,SD,23320,13.37,contract,,CHENEGA PROFESSIONAL & TECHNICAL SERVICES LLC,9/27/23,9/27/22,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89303322FEM400302_8900_DEEM0005006_8900/,0.0,371600.0,Department of Energy,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES"
"Los Angeles-Long Beach-Anaheim, CA Metro Area",34.108703,-118.182753,SD,92337,41.0,contract,,CROWN TECHNICAL SYSTEMS,9/27/23,9/27/23,11/11/24,https://www.usaspending.gov/award/CONT_AWD_89503323CWA000036_8900_-NONE-_-NONE-/,0.0,3749985.0,Department of Energy,PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",40.789339,-75.398158,SD,08865,14.32,contract,,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,9/27/23,7/24/13,10/10/14,https://www.usaspending.gov/award/CONT_AWD_DENR0000507_8900_-NONE-_-NONE-/,0.0,208721.0,Department of Energy,PUMP AND PUMPING EQUIPMENT MANUFACTURING
"Idaho Falls, ID Metro Area",43.620423,-112.420919,SD,83402,13.64,contract,,ALLEGHENY SCIENCE & TECHNOLOGY CORPORATION,9/27/23,10/19/20,10/18/25,https://www.usaspending.gov/award/CONT_AWD_89243221FNE400061_8900_GS10F053AA_4732/,-3587.45,5287006.77,Department of Energy,ENGINEERING SERVICES
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,"ACCORD FEDERAL SERVICES, LLC",9/27/23,7/21/23,7/23/24,https://www.usaspending.gov/award/CONT_AWD_89243123FSC400567_8900_89243123DSC000014_8900/,450880.76,1759657.76,Department of Energy,FACILITIES SUPPORT SERVICES
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99354,3.05,contract,,BATTELLE MEMORIAL INSTITUTE,9/27/23,1/4/03,9/30/27,https://www.usaspending.gov/award/CONT_AWD_DEAC0576RL01830_8900_-NONE-_-NONE-/,123378252.2,30134631902.0,Department of Energy,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99354,3.05,contract,,BATTELLE MEMORIAL INSTITUTE,9/27/23,1/4/03,9/30/27,https://www.usaspending.gov/award/CONT_AWD_DEAC0576RL01830_8900_-NONE-_-NONE-/,54831590.18,30134631902.0,Department of Energy,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
